bintang,komentar
1,"pengajuan dana lazbon lazada,tidak berhasil.KTP tidak sesuai.jelas jelas saya pakai KTP yg dari awal saya ajukan paylater.bintang satu sudah cukup."
1,Aplikasi nya kacau gada gratis ongkir nya padahal pertama kali Download ada skrg lebih mahal ongkir 3x lipat dibanding harga barang nya
1,"LAZADA hrs lbh selektif lgi kepada semua toko,seharusnya angka nominal harga (cetak tebal merah) dihilangkan saja.Jgn membuat buyer bingung dgn list harga yg merah & hitam,walau sebenarnya harga tertera yg asli itu tulisan hitam tipis.Saya keluh kesah pun percuma,pasti disuruh contact humas LAZADA.YLKI hrs turun tangan meninjau apk ini.Seolah penipuan terselumbung."
1,Pengirimannya tolong diperbaiki.... Masak udah kelewat estimasi baru dikirim.... Chat customer service juga balasannya gitu-gitu aja.... Tidak membantu...
1,"lazPaylater disetujui, tapi gak bisa digunakan, tanpa alasan jelas, mana sekarang kurir, tiba"" kirim, tanpa pemberitahuan, giliran gak ada yg terima, dibatalkan. Kocak nih lama"" Lazada"
1,"lucunya belanja online yah begitu yang salah kirim toko,belinya pake ongkir,gitu diretur yng balik uangnya hanya harga barang gaksama ongkirnya.."
1,"pesanan pertama saya dibatalkan oleh pihak ekspedisi tanpa ada pengiriman ke rumah dan dengan alasan uang kurang pdahal tidak ada kurir yg dtang,,, sekarang saya tidak bisa pesan lewat COD kembali atas kesalahan org lain"
1,"Knapa di apl lazada saya titik lokasi tidak lengkap, masa kec cibitung kab bekasi gak ada, fitur gpsnya jg tidak ada"
1,"Jasa paket yg kerja sama,pada lelet kalau punyanya LAZADA jasa paket bagus dan cepat....pas kena JNE dan yang lain super lelet,,, kalau order yg kirim jasa paket lain mending batalin,lok datang kelamaan mending gk usah di terima"
1,Iklan nya menganggu sekali setiap buka aplikasi lain ad saja ikhlas lazada menganggu aktivitas lain nya sangat kecewa
1,Jika anda bukan dari Jawa maka harga yg 5 ribu itu akan jadi 60 ribu dan khusus pengguna barunya barang di batasi anda hanya dapat diskon pada pembelian makanan sangat tidak bagus mending pake apk lain aja!!!!!!
1,cuman keluar lalu masuk ke aplikasinya lagi langsung kena v99 udah 2bulan akun gw ga sembuh buat apah belanja kalo ga bisa pake gratis ongkir balikin hp gw normal lagi gw salah apah ga melanggar apapun jadi ga bisa pake vocer apapun kena v99
1,kenapa setiap saya ingin membeli produk apapun tidak bisa cod saya merasa sangat kecewa kalo begini sangat merepotkan karena saya tidak bisa lagi berbelanja
1,"Ga nyaman, aneh, harga lebih mahal dibanding platform lain ribet, mau dpt voucher harus up ktp sama selfie.. ribet pollllll ga suka"
1,"Selama LazPaylater nya blm bisa dipake lagi, bintang blm bisa sy tambah, n blm ( akan ) bisa belanja via Lazada..🙏🙏🙏"
1,"gak ada diskon nya sama sekali,, masih bagusan lazada yg dulu.. tolonglah adain diskonNya atau promo2 menarik"
1,"Voucher di claim bisa, pas mau dipake buat checkout malah gabisa dipake. Dengan keterangan sudah habis, padahal event baru muncul dan checkout jam 00.01."
1,"Saya tidak puas tentang cod dan transfer, harganya beda, kenapa biaya ongkir nya sangat mahal"
1,sudah 3tahun gunakan baru kali ini mengecewakan.playlater tanpa alasan yg jelas dinonaktifkan.sdh email tapi dpt jawaban.bayarpun tdk pernah terlambat.why????
1,"Cek harga woi,,harga pada eror semua,,begitu di co brubah payah pas balik lagi berubah lagi aneh"
1,Pengirimannya lama sekali. Co tgl 10 sampai skrg tgl 16 belum sampai. Mengecewakan TDK bisa diandalkan
1,"Sekarang saya tidak bisa belanja dari luar negeri, tolong diperbaiki seperti semula ! Terima kasih"
1,Lazada memang bagus tapi sekarang bikin kecewa karena masalah login. Saya punya akun lazada kebeneran hp saya rusak trus ganti hp baru tp saat login harus verifikasi lewat apk lazada y mana bisa login lawong hp rusak cobalah buat kayak dulu verifikasi pakek wa atau sms kl di rubah kyak dl lg saya tambahin bintangnya.
1,"Saya sangat ska blanja di lazada,, Tp ahir² ini kok serba mahal,, harga tdak sesuai sesudah di klik sngat mhal,, prCuma ada Tulisan gratis ongkir tp klo di klik ad ongkirnya snangat mahal pula, tdak sesuai dengan harga,,, mhon untuk di perbarui lagi, trimakasin"
1,"Harga promo beda dengan harga saat cek out, tolong diperbaiki sistemnya biar pelanggan ga kecewa"
1,"makin kesini makin buruk banget untuk masalh pengiriman barang nya . masak paketku dari tgl 27 seb 2023 sampai hari ini belum juga di kirim ,masih aja setay di fasilitas logistik demak . entah besok dikirim atau gk . .. jujur kecewa banget . apalagi yang saya pesan itu makanan jadi takutnya udah busuk di pengiriman . entah kerjanya kurirnya gimana itu ,heran . komplen di lazada chat nya juga percuma lagi .minta no kurir atau alamat fasilitas logistik demak nya juga gk di kasih. kecawa banget gw"
1,"Gratis ongkir hilang, ongkir juga jadi agak mahal jangan kecewa kalo sepi karna beralih ke platform sebelah"
1,Batal stiap akan beli setelah lihat pengiriman standar nya..😀🙏...standar pengirimannya keterlaluan harganya..
